Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.010000-Pm0.010000-Ger10-Pop10-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.010000,0.010000,10,10,1 4 5 6 8 9 10 14 19 20 21 23 24 25 27 28 32 33 35 36 39 40 48 49 53 54 58 60 ,-inf,100.000000,0,
1,0.010000,0.010000,10,10,15 16 17 25 27 28 30 31 32 34 35 37 39 41 43 44 45 52 53 55 57 58 60 62 ,-1174.000000,100.000000,0,
2,0.010000,0.010000,10,10,3 4 5 7 8 9 10 12 14 19 20 22 23 26 30 32 33 34 36 41 46 48 51 54 58 ,-858.000000,100.000000,0,
3,0.010000,0.010000,10,10,17 18 20 26 31 32 40 45 46 47 48 49 53 55 58 61 63 64 ,-659.333313,100.000000,0,
4,0.010000,0.010000,10,10,2 4 6 8 10 11 12 15 17 19 21 25 30 32 33 36 39 41 43 44 48 49 52 53 54 57 59 62 63 ,-680.000000,100.000000,0,
5,0.010000,0.010000,10,10,2 10 13 14 15 17 18 21 23 24 28 29 32 33 35 36 47 50 51 52 53 56 59 61 ,-643.599976,100.000000,0,
6,0.010000,0.010000,10,10,1 5 6 7 11 13 16 17 18 23 26 30 32 37 38 39 40 43 44 45 50 54 57 59 60 64 ,-634.333313,100.000000,0,
7,0.010000,0.010000,10,10,1 4 6 7 8 12 13 15 17 18 20 22 23 27 28 29 31 36 38 40 42 49 52 ,-607.714294,100.000000,0,
8,0.010000,0.010000,10,10,2 5 6 7 12 15 18 22 23 24 26 28 31 35 37 38 41 43 44 46 48 52 57 61 ,-594.000000,100.000000,0,
9,0.010000,0.010000,10,10,1 5 8 11 13 14 15 17 23 24 25 27 36 37 39 48 49 53 54 55 62 ,-570.000000,100.000000,0,
3,0.010000,0.010000,10,10,17 18 20 26 31 32 40 45 46 47 48 49 53 55 58 61 63 64 ,-513.000000,100.000000,0,
